id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
7475441,2010-01-01 02:40:00,503,1088,$28.21,Swipe Transaction,20561,Chicago,IL,60629.0,5912,
7475442,2010-01-01 02:40:00,714,2958,$44.86,Swipe Transaction,1238,Fayetteville,AR,72703.0,7393,
7475443,2010-01-01 02:44:00,908,5154,$57.73,Swipe Transaction,68751,Holly Springs,NC,27540.0,5651,
7475444,2010-01-01 02:45:00,758,2181,$6.52,Swipe Transaction,75781,Alhambra,CA,91801.0,5411,
7475446,2010-01-01 02:48:00,1411,1069,$4.04,Swipe Transaction,10455,Saint Charles,IL,60174.0,5812,
7475447,2010-01-01 02:51:00,140,152,$3.93,Swipe Transaction,61195,Woodbury,TN,37190.0,5541,
7475449,2010-01-01 02:51:00,1424,4710,$5.12,Swipe Transaction,95811,Seligman,AZ,86337.0,5411,
7475450,2010-01-01 02:52:00,843,184,$19.15,Swipe Transaction,73365,Terre Haute,IN,47805.0,5651,
7475452,2010-01-01 02:57:00,895,217,$58.85,Swipe Transaction,88544,Big Bear Lake,CA,92315.0,5300,
7475453,2010-01-01 02:57:00,1313,4183,$2.77,Swipe Transaction,61746,Sutersville,PA,15083.0,5411,
7475454,2010-01-01 02:57:00,1459,3383,$2.75,Swipe Transaction,47756,Albuquerque,NM,87121.0,5411,
7475455,2010-01-01 02:59:00,474,2493,$115.37,Swipe Transaction,98648,Williston Park,NY,11596.0,5814,
7475456,2010-01-01 03:02:00,1802,5836,$77.70,Swipe Transaction,60569,Somerset,NJ,8873.0,5300,
7475457,2010-01-01 03:03:00,702,4199,$120.87,Swipe Transaction,61195,Huntington Station,NY,11746.0,5541,
7475458,2010-01-01 03:06:00,461,5482,$23.86,Swipe Transaction,45389,Canton,MI,48188.0,5813,
7475459,2010-01-01 03:08:00,169,3256,$11.18,Swipe Transaction,2205,Sumter,SC,29153.0,5813,
7475460,2010-01-01 03:08:00,957,4532,$-147.00,Swipe Transaction,44795,Marysville,OH,43040.0,3780,
7475461,2010-01-01 03:09:00,140,152,$3.92,Swipe Transaction,75936,Whites Creek,TN,37189.0,5814,
7475462,2010-01-01 03:09:00,843,184,$27.29,Swipe Transaction,73365,Terre Haute,IN,47805.0,5651,
7475463,2010-01-01 03:11:00,1921,1181,$40.89,Online Transaction,59350,ONLINE,,,7922,
7475464,2010-01-01 03:13:00,957,4532,$14.21,Swipe Transaction,44795,Marysville,OH,43040.0,3780,
7475465,2010-01-01 03:16:00,1920,3415,$24.47,Swipe Transaction,35001,Oak Park,MN,56357.0,5813,
7475466,2010-01-01 03:17:00,319,248,$29.60,Swipe Transaction,54850,Fresno,CA,93727.0,4814,
7475467,2010-01-01 03:17:00,613,1191,$22.77,Swipe Transaction,44919,Lombard,IL,60148.0,5814,
7475468,2010-01-01 03:20:00,121,5952,$58.47,Online Transaction,80770,ONLINE,,,7922,
7475469,2010-01-01 03:23:00,1787,2228,$37.09,Swipe Transaction,96712,Lexington,KY,40509.0,5813,
7475470,2010-01-01 03:26:00,609,2892,$11.44,Swipe Transaction,46284,Garland,TX,75040.0,5411,
7475471,2010-01-01 03:27:00,1209,3387,$4.78,Swipe Transaction,50783,New Rochelle,NY,10801.0,5411,
7475473,2010-01-01 03:29:00,895,1116,$35.23,Swipe Transaction,45188,Big Bear Lake,CA,92315.0,5651,
7475474,2010-01-01 03:32:00,819,3245,$102.27,Swipe Transaction,51664,Pittsburgh,PA,15224.0,4900,
7475475,2010-01-01 03:32:00,1237,2092,$3.58,Swipe Transaction,75936,Waukegan,IL,60085.0,5814,
7475476,2010-01-01 03:32:00,1538,3206,$14.36,Swipe Transaction,98374,Nazareth,PA,18064.0,5411,
7475477,2010-01-01 03:36:00,1686,2617,$176.44,Swipe Transaction,1827,Lafayette,CO,80026.0,5912,
7475478,2010-01-01 03:49:00,442,112,$120.00,Swipe Transaction,27092,Belleville,IL,62221.0,4829,
7475479,2010-01-01 03:51:00,1209,3387,$4.39,Swipe Transaction,50783,New Rochelle,NY,10801.0,5411,
7475480,2010-01-01 03:52:00,618,3411,$6.72,Swipe Transaction,75781,Manhattan Beach,CA,90266.0,5411,
7475481,2010-01-01 03:52:00,1941,2940,$13.79,Swipe Transaction,56241,Campbell,TX,75422.0,5310,
7475482,2010-01-01 03:53:00,241,3921,$63.50,Swipe Transaction,70766,Rockingham,NC,28379.0,5651,
7475483,2010-01-01 03:56:00,377,4602,$59.44,Swipe Transaction,55604,Withee,WI,54498.0,7538,
7475485,2010-01-01 03:57:00,185,5361,$15.89,Online Transaction,39261,ONLINE,,,5815,
7475486,2010-01-01 04:01:00,421,2177,$96.63,Swipe Transaction,20561,Ottumwa,IA,52501.0,5912,
7475487,2010-01-01 04:05:00,1382,2838,$93.13,Swipe Transaction,22014,Dallas,TX,75253.0,4900,
7475488,2010-01-01 04:06:00,1080,2562,$31.50,Swipe Transaction,85304,Eastman,GA,31023.0,5310,
7475489,2010-01-01 04:13:00,1413,4673,$1.62,Swipe Transaction,20519,Jasper,IN,47546.0,5942,
7475490,2010-01-01 04:14:00,585,5881,$20.86,Online Transaction,41122,ONLINE,,,4784,
7475491,2010-01-01 04:17:00,356,3251,$7.71,Online Transaction,50404,ONLINE,,,4784,
7475492,2010-01-01 04:17:00,1920,2791,$33.19,Swipe Transaction,35001,Oak Park,MN,56357.0,5813,
7475493,2010-01-01 04:18:00,816,5066,$108.13,Swipe Transaction,98374,Church Hill,TN,37642.0,5411,
7475494,2010-01-01 04:21:00,103,5113,$166.34,Online Transaction,56276,ONLINE,,,4899,
7475495,2010-01-01 04:21:00,1635,115,$14.50,Swipe Transaction,45501,Jamaica,NY,11434.0,5912,
7475496,2010-01-01 04:22:00,1313,4183,$3.36,Swipe Transaction,98374,Slovan,PA,15078.0,5411,
7475497,2010-01-01 04:25:00,20,3857,$2.56,Swipe Transaction,59397,Weatherford,TX,76086.0,5812,
7475498,2010-01-01 04:27:00,1736,113,$55.79,Swipe Transaction,24823,Brooklyn,NY,11211.0,7538,
7475499,2010-01-01 04:28:00,1812,2531,$174.06,Swipe Transaction,68671,North Little Rock,AR,72116.0,5541,
7475500,2010-01-01 04:30:00,1905,5807,$54.98,Online Transaction,73186,ONLINE,,,4814,
7475501,2010-01-01 04:31:00,526,5917,$22.23,Online Transaction,16798,ONLINE,,,4121,
7475502,2010-01-01 04:31:00,1378,2921,$60.00,Swipe Transaction,27092,Suring,WI,54174.0,4829,
7475505,2010-01-01 04:38:00,100,5903,$60.09,Swipe Transaction,20916,Hillsborough,NC,27278.0,5651,
7475506,2010-01-01 04:38:00,839,4725,$74.76,Swipe Transaction,32175,Danbury,CT,6810.0,7538,
7475507,2010-01-01 04:39:00,1629,4290,$29.93,Swipe Transaction,95377,Fort Lauderdale,FL,33313.0,5912,
7475508,2010-01-01 04:44:00,1807,2823,$119.42,Swipe Transaction,84708,Bronx,NY,10463.0,4900,
7475509,2010-01-01 04:45:00,1718,4706,$46.21,Online Transaction,15143,ONLINE,,,4784,
7475510,2010-01-01 04:49:00,1629,4290,$26.38,Online Transaction,39021,ONLINE,,,4784,
7475511,2010-01-01 04:49:00,1880,2014,$67.09,Swipe Transaction,40475,Arlington Heights,IL,60005.0,7802,
7475512,2010-01-01 04:51:00,1563,5125,$1.14,Swipe Transaction,14528,Los Angeles,CA,90004.0,5499,
7475513,2010-01-01 04:52:00,1728,153,$69.85,Swipe Transaction,49286,Waupaca,WI,54981.0,5300,
7475514,2010-01-01 04:54:00,33,2404,$8.73,Swipe Transaction,50783,Spring Creek,NV,89815.0,5411,
7475515,2010-01-01 04:54:00,464,3233,$104.40,Swipe Transaction,32175,Orlando,FL,32804.0,7538,
7475516,2010-01-01 04:56:00,464,3233,$104.10,Swipe Transaction,32175,Orlando,FL,32804.0,7538,Technical Glitch
7475517,2010-01-01 04:58:00,984,2796,$79.70,Swipe Transaction,60569,Kissimmee,FL,34758.0,5300,
7475518,2010-01-01 04:58:00,1148,5804,$2.68,Swipe Transaction,59935,Philadelphia,PA,19146.0,5499,
